Ind,Collection.Year,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
SRR29127736,2001,20.4666670759519,12.4500003258387,43.6842094769512,513.894810323214,32.4000015258789,3.90000009536743,28.5000014305115,26.6000003814697,15.2333339850108,26.6000003814697,14.2833338578542,1271.30003356934,295,22.8000011444092,95.6627093935008,631.800018310547,86.5,631.800018310547,87.1000003814697
SRR29127791,2001,20.4666670759519,12.4500003258387,43.6842094769512,513.894810323214,32.4000015258789,3.90000009536743,28.5000014305115,26.6000003814697,15.2333339850108,26.6000003814697,14.2833338578542,1271.30003356934,295,22.8000011444092,95.6627093935008,631.800018310547,86.5,631.800018310547,87.1000003814697
SRR29127762,2006,17.8458336095015,13.1916667819023,40.715018115506,760.921881838554,34.1000022888184,1.70000004768372,32.4000022411346,8.85000026226044,25.1833335558573,27.5166673660278,8.85000026226044,1218.50002670288,189.600006103516,46.5,45.3776095275471,440.700012207031,175.299999237061,200.400005340576,440.700012207031
SRR29127727,2007,21.2916669249535,12.7666668494542,44.4831578326218,547.290172808965,34.4000015258789,5.7000002861023,28.7000012397766,27.5333337783813,20.5333334604899,27.6166671117147,14.6666669050852,1127.30002498627,199.600006103516,13.9000005722046,71.1734145288195,541.300018310547,87.9000024795532,526.900009155273,197.900005340576
SRR29127759,1982,21.4208335081736,12.0250000953674,44.3726903312072,479.414705610462,32.6000022888184,5.5,27.1000022888184,27.1666673024495,19.4499998092651,27.1666673024495,15.4333333969116,1799.30003547668,323.600006103516,29.3999996185303,60.2231390593941,753.500015258789,131.500001907349,753.500015258789,212.400005340576
SRR29127755,1997,16.3083337297042,11.5666664143403,36.3731622206313,744.90952305139,32.6000022888184,0.800000011920929,31.8000022768974,7.33333343267441,25.2333342234294,25.2333342234294,7.15000015497208,1501.50003051758,188.800003051758,68.9000015258789,31.9640808578228,502.300018310547,233.500007629395,287.000007629395,406.500015258789
SRR29127789,1956,14.3458334729075,8.15833375354608,27.6553678738024,787.381906517552,28.2000007629395,-1.30000007152557,29.500000834465,17.2000002066294,4.30000008145968,23.7166668574015,4.30000008145968,1525.30005073547,265.700012207031,13.6000003814697,56.3529237358659,533.200019836426,163.800004959106,347.200004577637,163.800004959106
SRR29127773,1905,24.9333338737488,12.0666669209798,79.3859626007434,84.7009011489148,32.4000015258789,17.2000007629395,15.2000007629395,25.2500003178914,24.6166674296061,25.9500007629395,23.8333339691162,2429.90003585815,431.899993896484,33.2000007629395,65.2579472878915,1050.69999694824,204.400001525879,563.400016784668,279.500011444092
SRR29127734,2012,19.1750005185604,13.9833338856697,42.6321124681997,657.448615494305,35.6000022888184,2.79999995231628,32.8000023365021,26.8833344777425,17.9666668574015,26.8833344777425,11.250000278155,981.200023651123,172.100006103516,32.1000022888184,48.1490551611512,385.60001373291,123.800003051758,385.60001373291,206.800006866455
SRR29127735,2012,19.3333337306976,11.616666952769,38.3388357929738,632.736964286182,34.2999992370605,4,30.2999992370605,26.7333339055379,11.7333336671193,26.7333339055379,11.6333336830139,1140.30002212524,239.100006103516,36.4000015258789,59.0561167064028,475.500007629395,179.000003814697,475.500007629395,189.300003051758
SRR29127785,1952,13.6250002806385,8.51666680475076,27.6515145724165,776.262919431084,29.3000011444092,-1.5,30.8000011444092,19.5833336512248,4.03333339095116,23.1333338419596,4.03333339095116,2041.90005111694,358.100006103516,35.7999992370605,51.4239096663479,803.300033569336,226.999996185303,675.200012207031,226.999996185303
SRR29127798,2003,14.6333335712552,12.0333336045345,32.2609474240467,863.537494487106,32.7000007629395,-4.59999990463257,37.300000667572,19.1333335240682,4.61666679382324,24.8166672388713,3.1666665772597,1113.90002155304,151.600006103516,10.8000001907349,39.9278693714838,344.600006103516,197.600003242493,335.100006103516,211.40000629425
SRR29127797,2002,17.2333335454265,11.5500001162291,34.684685828385,844.08997364301,33.2999992370605,0,33.2999992370605,17.266666730245,27.1500002543132,27.1500002543132,6.8333335618178,1380.90000915527,256.5,47.7999992370605,55.6752733563302,473.999996185303,226.900005340576,226.900005340576,402.200004577637
SRR29127795,1977,19.8833335787058,9.96666658918063,31.6402098376055,730.66077264314,33.4000015258789,1.89999997615814,31.5000015497208,27.5666669209798,23.966667175293,27.8500003814697,9.80000009139379,1203.20001220703,202.300003051758,32.4000015258789,58.4465197885674,558.800003051758,129.900005340576,412.600002288818,228.000003814697
SRR29127783,1946,26.6833337148031,8.09999974568685,63.281251785035,82.6639742557361,33.5,20.7000007629395,12.7999992370605,26.6166674296061,25.7666670481364,27.7000001271566,25.6500002543132,2039.7000579834,356.399993896484,0.5,77.1916731359496,861.500015258789,75.8000030517578,435.100006103516,272.700012207031
SRR29127754,1957,18.9375002185504,12.4250000715256,41.6946301784694,630.959315691689,33.7000007629395,3.90000009536743,29.800000667572,17.766667286555,12.300000111262,26.9666665395101,11.8333334922791,1578.90000152588,240.699996948242,67.7000045776367,44.8030495364698,514.599998474121,275.900001525879,382.5,426.599998474121
SRR29127741,1974,22.9500002861023,11.2166665395101,51.4525983549177,394.910804600922,32.5,10.6999998092651,21.8000001907349,27.016666730245,19.6166671117147,27.4666668574015,18.5166670481364,1133.10002803802,335.700012207031,6.40000009536743,103.68365864581,680.20002746582,58.3000001907349,497.200012207031,100.799999237061
SRR29127777,1996,27.7500002384186,7.26666657129924,85.4901949564616,26.0244616831446,32,23.5,8.5,27.7833337783813,27.7000001271566,28.0500001907349,27.5,2872.80004882812,412.800018310547,107,36.6371956847686,910.300033569336,505.300003051758,687.600006103516,818.800003051758
SRR29127781,1952,27.0750005245209,8.5666667620341,70.7988966277499,97.4796023517749,33.9000015258789,21.8000011444092,12.1000003814697,26.6333338419596,27.5666675567627,28.4333337148031,26.1166671117147,2088.40002250671,673.799987792969,12.4000005722046,110.165441421023,1185.90000915527,53.1000022888184,531.899991989136,186.100010871887
SRR29127774,1929,23.9250005086263,10.1000000635783,77.6923081813714,86.85147981874,30.1000003814697,17.1000003814697,13,24.216667175293,23.0333337783813,24.9166669845581,22.7833340962728,1944.60000181198,511.899993896484,5.7000002861023,116.401851038127,1236.60000610352,44.6000008583069,456.799996376038,76.4000000953674
SRR29127790,1976,17.48750034223,13.3083340475957,40.4508614904696,713.904535108732,32.9000015258789,0,32.9000015258789,23.9333340326945,9.18333344658216,25.9333340326945,7.9833334783713,1291.40002059937,196.300003051758,51.7999992370605,35.5103599279345,414.000007629395,259.800006866455,288.600006103516,325.100006103516
SRR29127740,1967,18.9458336730798,13.9083334803581,48.9730038146888,586.071149391482,32.2000007629395,3.79999995231628,28.4000008106232,25.916667620341,20.2333334287008,25.916667620341,11.5333333412806,1487.60000610352,224.199996948242,32.2999992370605,50.3678037702103,599.100006103516,172.300003051758,599.100006103516,392.199996948242
SRR29127792,2014,19.6166670074066,11.6333337326845,36.1283630346527,698.610108784113,33.6000022888184,1.39999997615814,32.2000023126602,15.5166668097178,11.6500002344449,27.3500006993612,11.4666668375333,1520.70002746582,232.199996948242,72.8000030517578,36.8917011918216,512.800003051758,255.600006103516,413.400009155273,305.300003051758
SRR29127738,1985,18.2666671847304,13.8166672835747,38.8108606608557,764.634025494074,33.1000022888184,-2.5,35.6000022888184,25.0333342552185,18.8666670322418,26.3000011444092,7.06666691104571,1046.20001602173,182.100006103516,27.2000007629395,54.1763219410116,352.700004577637,160.900001525879,349.600006103516,306.500007629395
SRR29127796,2001,18.2000004490837,13.0333337703099,40.3508766415035,670.284907187377,32.4000015258789,0.100000001490116,32.3000015243888,17.6833338737488,14.7666670481364,26.3500006993612,10.1666665238639,1070.3000164032,284.600006103516,17.8000011444092,79.1235437240563,435.500015258789,109.300001144409,324.099994659424,159.100006103516
